Seed,Case number,Case start state,Solution found,Number of moves,Number of nodes opened,Computing time
574,1,"[1, 0, [[8, 2, 3], [0, 5, 1], [6, 7, 4]]]",1,15,22433,0.08135747909545898
574,2,"[1, 1, [[2, 3, 7], [1, 0, 4], [6, 5, 8]]]",1,18,127168,0.4992687702178955
574,3,"[0, 1, [[5, 0, 3], [7, 8, 6], [1, 2, 4]]]",1,21,717749,2.87959885597229
574,4,"[2, 1, [[7, 4, 5], [6, 2, 3], [1, 0, 8]]]",1,21,963714,3.86483097076416
574,5,"[1, 2, [[7, 1, 5], [8, 3, 0], [4, 2, 6]]]",1,23,2391029,9.531949520111084
574,6,"[1, 0, [[1, 7, 6], [0, 5, 3], [8, 2, 4]]]",1,19,187106,0.7477054595947266
574,7,"[1, 2, [[1, 6, 4], [8, 2, 0], [3, 5, 7]]]",0,0,77433285,363.7311851978302
574,8,"[2, 0, [[8, 2, 7], [3, 5, 6], [0, 4, 1]]]",1,26,10972154,44.466230154037476
574,9,"[0, 2, [[2, 5, 0], [8, 3, 4], [7, 1, 6]]]",1,16,45662,0.17453432083129883
574,10,"[0, 2, [[2, 7, 0], [8, 1, 3], [4, 6, 5]]]",0,0,66495184,311.56998777389526
